chr19	 3080000	 3280000
chr19	 3280000	 3560000
chr19	 3560000	 4000000
chr19	 4000000	 4440000
chr19	 4440000	 5040000
chr19	 5040000	 5440000
chr19	 5440000	 5920000
chr19	 5920000	 6400000
chr19	 6560000	 7080000
chr19	 7080000	 7560000
chr19	 7720000	 8000000
chr19	 8000000	 8240000
chr19	 8240000	 8800000
chr19	 8800000	 9200000
chr19	 9360000	 9640000
chr19	 9680000	 9920000
chr19	 9920000	10320000
chr19	10320000	10600000
chr19	10600000	11080000
chr19	11080000	11680000
chr19	11680000	12080000
chr19	12080000	12520000
chr19	12520000	12880000
chr19	12880000	13360000
chr19	13360000	13960000
chr19	13960000	14480000
chr19	14480000	15120000
chr19	15120000	15880000
chr19	15880000	16120000
chr19	16120000	16680000
chr19	16680000	17120000
chr19	17120000	17480000
chr19	17480000	17920000
chr19	17920000	18640000
chr19	18640000	18920000
chr19	18920000	19400000
chr19	19400000	19920000
chr19	19920000	20440000
chr19	20440000	20840000
chr19	20840000	21440000
chr19	21440000	21880000
chr19	21880000	22400000
chr19	22400000	22960000
chr19	22960000	23600000
chr19	23600000	24080000
chr19	24080000	24360000
chr19	24360000	24960000
chr19	24960000	25720000
chr19	25720000	26280000
chr19	26280000	26800000
chr19	26800000	27480000
chr19	27480000	27800000
chr19	27800000	28200000
chr19	28200000	28840000
chr19	28840000	29440000
chr19	29440000	29880000
chr19	29880000	30280000
chr19	30280000	30720000
chr19	30720000	31440000
chr19	31440000	32160000
chr19	32160000	32760000
chr19	32760000	33320000
chr19	33320000	33840000
chr19	33840000	34280000
chr19	34280000	34880000
chr19	34880000	35080000
chr19	35080000	35440000
chr19	35440000	36160000
chr19	36160000	36840000
chr19	36840000	37480000
chr19	37480000	38000000
chr19	38000000	38520000
chr19	38520000	39000000
chr19	39000000	39440000
chr19	39440000	39720000
chr19	39720000	40280000
chr19	40280000	40800000
chr19	40800000	41360000
chr19	41360000	41880000
chr19	41880000	42240000
chr19	42240000	42840000
chr19	42840000	43560000
chr19	43560000	44160000
chr19	44160000	44640000
chr19	44640000	45120000
chr19	45120000	45800000
chr19	45800000	46120000
chr19	46120000	46600000
chr19	46600000	47240000
chr19	47240000	47920000
chr19	47920000	48480000
chr19	48480000	49000000
chr19	49000000	49600000
chr19	49600000	50240000
chr19	50360000	50760000
chr19	50760000	51000000
chr19	51000000	51560000
chr19	51560000	52120000
chr19	52120000	53040000
chr19	53040000	53440000
chr19	53440000	53680000
chr19	53680000	54120000
chr19	54120000	54640000
chr19	54640000	55280000
chr19	55280000	55480000
chr19	55480000	56000000
chr19	56000000	56400000
chr19	56400000	56920000
chr19	56920000	57440000
chr19	57440000	57800000
chr19	57800000	58400000
chr19	58400000	59320000
chr19	59320000	60480000
chr19	60480000	61360000
