from.id	from.cord	to.id	to.cord
0	0	90	3600000
95	3800000	115	4600000
116	4640000	158	6320000
160	6400000	163	6520000
166	6640000	169	6760000
171	6840000	177	7080000
178	7120000	195	7800000
196	7840000	241	9640000
242	9680000	278	11120000
279	11160000	329	13160000
330	13200000	357	14280000
358	14320000	401	16040000
402	16080000	439	17560000
440	17600000	451	18040000
452	18080000	488	19520000
489	19560000	537	21480000
538	21520000	616	24640000
617	24680000	725	29000000
726	29040000	800	32000000
801	32040000	850	34000000
851	34040000	903	36120000
904	36160000	945	37800000
946	37840000	980	39200000
981	39240000	1022	40880000
1023	40920000	1074	42960000
1075	43000000	1128	45120000
1129	45160000	1133	45320000
1139	45560000	1150	46000000
1152	46080000	1165	46600000
1167	46680000	1176	47040000
1178	47120000	1182	47280000
1184	47360000	1187	47480000
1189	47560000	1195	47800000
1211	48440000	1216	48640000
1220	48800000	1223	48920000
1232	49280000	1254	50160000
1255	50200000	1274	50960000
1275	51000000	1287	51480000
1288	51520000	1310	52400000
1311	52440000	1338	53520000
1339	53560000	1372	54880000
1373	54920000	1450	58000000
