from.id	from.cord	to.id	to.cord
3	120000	33	1320000
43	1720000	57	2280000
61	2440000	82	3280000
83	3320000	89	3560000
95	3800000	115	4600000
116	4640000	158	6320000
160	6400000	163	6520000
166	6640000	169	6760000
171	6840000	177	7080000
178	7120000	195	7800000
196	7840000	241	9640000
242	9680000	278	11120000
279	11160000	289	11560000
290	11600000	306	12240000
307	12280000	328	13120000
329	13160000	357	14280000
358	14320000	401	16040000
402	16080000	439	17560000
440	17600000	450	18000000
451	18040000	474	18960000
475	19000000	502	20080000
503	20120000	534	21360000
535	21400000	571	22840000
572	22880000	616	24640000
617	24680000	725	29000000
726	29040000	800	32000000
801	32040000	850	34000000
851	34040000	903	36120000
904	36160000	945	37800000
946	37840000	980	39200000
981	39240000	1020	40800000
1021	40840000	1044	41760000
1045	41800000	1081	43240000
1082	43280000	1128	45120000
1129	45160000	1254	50160000
1255	50200000	1274	50960000
1275	51000000	1287	51480000
1288	51520000	1310	52400000
1311	52440000	1338	53520000
1339	53560000	1372	54880000
1373	54920000	1450	58000000
