from.id	from.cord	to.id	to.cord
3	120000	33	1320000
41	1640000	52	2080000
61	2440000	89	3560000
95	3800000	158	6320000
160	6400000	163	6520000
165	6600000	195	7800000
196	7840000	241	9640000
242	9680000	278	11120000
279	11160000	329	13160000
330	13200000	357	14280000
358	14320000	401	16040000
402	16080000	439	17560000
440	17600000	451	18040000
452	18080000	488	19520000
489	19560000	537	21480000
538	21520000	616	24640000
617	24680000	725	29000000
726	29040000	800	32000000
801	32040000	863	34520000
864	34560000	903	36120000
904	36160000	945	37800000
946	37840000	979	39160000
980	39200000	1022	40880000
1023	40920000	1074	42960000
1075	43000000	1128	45120000
1129	45160000	1254	50160000
1255	50200000	1274	50960000
1275	51000000	1287	51480000
1288	51520000	1310	52400000
1311	52440000	1338	53520000
1339	53560000	1372	54880000
1373	54920000	1450	58000000
