from.id	from.cord	to.id	to.cord
0	0	90	3600000
95	3800000	114	4560000
115	4600000	158	6320000
160	6400000	163	6520000
166	6640000	169	6760000
171	6840000	178	7120000
179	7160000	195	7800000
196	7840000	241	9640000
242	9680000	278	11120000
279	11160000	290	11600000
291	11640000	307	12280000
308	12320000	316	12640000
317	12680000	329	13160000
330	13200000	357	14280000
358	14320000	401	16040000
402	16080000	439	17560000
440	17600000	450	18000000
451	18040000	474	18960000
475	19000000	502	20080000
503	20120000	533	21320000
534	21360000	571	22840000
572	22880000	616	24640000
617	24680000	726	29040000
727	29080000	800	32000000
801	32040000	850	34000000
851	34040000	903	36120000
904	36160000	945	37800000
946	37840000	984	39360000
985	39400000	1022	40880000
1023	40920000	1075	43000000
1076	43040000	1128	45120000
1129	45160000	1255	50200000
1256	50240000	1274	50960000
1275	51000000	1288	51520000
1289	51560000	1311	52440000
1312	52480000	1338	53520000
1339	53560000	1372	54880000
1373	54920000	1387	55480000
1389	55560000	1408	56320000
1410	56400000	1436	57440000
1439	57560000	1449	57960000
