from.id	from.cord	to.id	to.cord
0	0	90	3600000
95	3800000	114	4560000
115	4600000	158	6320000
160	6400000	163	6520000
166	6640000	169	6760000
171	6840000	178	7120000
179	7160000	195	7800000
196	7840000	241	9640000
242	9680000	278	11120000
279	11160000	329	13160000
330	13200000	357	14280000
358	14320000	401	16040000
402	16080000	439	17560000
440	17600000	450	18000000
451	18040000	474	18960000
475	19000000	502	20080000
503	20120000	537	21480000
538	21520000	616	24640000
617	24680000	726	29040000
727	29080000	800	32000000
801	32040000	850	34000000
851	34040000	903	36120000
904	36160000	945	37800000
946	37840000	984	39360000
985	39400000	1022	40880000
1023	40920000	1075	43000000
1076	43040000	1128	45120000
1135	45400000	1149	45960000
1151	46040000	1154	46160000
1157	46280000	1162	46480000
1168	46720000	1200	48000000
1203	48120000	1206	48240000
1210	48400000	1216	48640000
1220	48800000	1223	48920000
1224	48960000	1241	49640000
1243	49720000	1247	49880000
1248	49920000	1255	50200000
1256	50240000	1274	50960000
1275	51000000	1288	51520000
1289	51560000	1311	52440000
1312	52480000	1338	53520000
1339	53560000	1372	54880000
1373	54920000	1450	58000000
